table_name,column_name,data_type,nullable,default,key,references,column_status,notes
occupations,code,varchar,NO,,PK,,BUILT,ANZSCO occupation code
occupations,name,varchar,NO,,,,BUILT,
occupations,unit_group,varchar,NO,,,,BUILT,
occupations,source_url,varchar,NO,,,,BUILT,provenance trio
occupations,retrieved_at,timestamptz,NO,,,,BUILT,provenance trio
occupations,reliability_tier,varchar,NO,official_scraped,,,BUILT,provenance trio
occupations,code_grain,varchar,NO,,,,BUILT,'unit_group' | 'occupation' - migration 0008
occupations,anzsco_edition,varchar,NO,,,,BUILT,'2013' | '2022' - migration 0010
eoi_rounds,id,integer,NO,sequence,PK,,BUILT,
eoi_rounds,visa_code,varchar,NO,,UNIQUE (composite),,BUILT,"e.g. 189, 491"
eoi_rounds,occupation_code,varchar,YES,,,occupations.code,BUILT,NULL until crosswalk resolves it
eoi_rounds,round_date,date,NO,,UNIQUE (composite),,BUILT,
eoi_rounds,threshold_points,integer,NO,,,,BUILT,
eoi_rounds,invitations_issued,integer,YES,,,,BUILT,always NULL today - no source at occupation grain (lives in Table A/C)
eoi_rounds,source_url,varchar,NO,,,,BUILT,provenance trio
eoi_rounds,retrieved_at,timestamptz,NO,,,,BUILT,provenance trio
eoi_rounds,reliability_tier,varchar,NO,official_scraped,,,BUILT,provenance trio
eoi_rounds,occupation_name_raw,varchar,NO,,UNIQUE (composite),,BUILT,"the real dedup key (occupation_code is NULL for unresolved rows, and Postgres treats NULLs as distinct) - migration 0007"
ceiling_usage,id,integer,NO,sequence,PK,,BUILT,
ceiling_usage,occupation_code,varchar,NO,,FK,occupations.code,BUILT,
ceiling_usage,program_year,varchar,NO,,,,BUILT,
ceiling_usage,issued,integer,NO,,,,BUILT,
ceiling_usage,ceiling,integer,NO,,,,BUILT,
ceiling_usage,as_of_date,date,NO,,,,BUILT,
ceiling_usage,source_url,varchar,NO,,,,BUILT,provenance trio
ceiling_usage,retrieved_at,timestamptz,NO,,,,BUILT,provenance trio
ceiling_usage,reliability_tier,varchar,NO,official_curated,,,BUILT,provenance trio
occupation_momentum,id,integer,NO,sequence,PK,,BUILT,
occupation_momentum,occupation_code,varchar,NO,,FK,occupations.code,BUILT,
occupation_momentum,computed_at,timestamptz,NO,,,,BUILT,
occupation_momentum,direction,varchar,NO,,,,BUILT,'rising' | 'falling' | 'steady'
occupation_momentum,reliability_tier,varchar,NO,derived,,,BUILT,always 'derived'; no source_url on this table
occupation_titles,id,integer,NO,sequence,PK,,BUILT,
occupation_titles,title,varchar,NO,,,,BUILT,"as published, verbatim"
occupation_titles,title_normalized,varchar,NO,,UNIQUE (composite),,BUILT,"case/whitespace-folded, footnote markers stripped"
occupation_titles,occupation_code,varchar,NO,,no FK (deliberate),occupations.code (not enforced),BUILT,names codes occupations.code doesn't carry - an FK would abort loading
occupation_titles,title_source,varchar,NO,,UNIQUE (composite),,BUILT,'LIN_19_051' | 'ABS_ANZSCO'
occupation_titles,anzsco_edition,varchar,NO,,,,BUILT,'2013' (LIN) or '2022' (ABS)
occupation_titles,source_url,varchar,NO,,,,BUILT,provenance trio
occupation_titles,retrieved_at,timestamptz,NO,,,,BUILT,provenance trio
occupation_titles,reliability_tier,varchar,NO,,,,BUILT,provenance trio
source_pages,id,integer,NO,sequence,PK,,BUILT,
source_pages,url,varchar,NO,,UNIQUE,,BUILT,
source_pages,domain,varchar,NO,,,,BUILT,
source_pages,category,varchar,NO,,,,BUILT,
source_pages,content_hash,varchar,NO,,,,BUILT,SHA-256 of raw bytes
source_pages,first_seen_at,timestamptz,NO,now(),,,BUILT,
source_pages,last_checked_at,timestamptz,NO,now(),,,BUILT,
source_pages,last_changed_at,timestamptz,NO,now(),,,BUILT,advances on every fetch where content_hash changes
source_pages,status,varchar,NO,active,,,BUILT,'active' | 'dead' | 'redirected'
source_pages,last_extracted_at,timestamptz,YES,,,,BUILT,the anti-freeze watermark - only advances after successful parse+persist
visa_subclasses,code,varchar,NO,,PK,,BUILT,
visa_subclasses,name,varchar,NO,,,,BUILT,
visa_subclasses,visa_category,varchar,YES,,,,BUILT,from BP0068's taxonomy
visa_subclasses,source_url,varchar,NO,,,,BUILT,provenance trio
visa_subclasses,retrieved_at,timestamptz,NO,,,,BUILT,provenance trio
visa_subclasses,reliability_tier,varchar,NO,,,,BUILT,provenance trio
application_funnel,id,integer,NO,sequence,PK,,BUILT,
