id,source_name,url,content_type,tier,cadence,feeds,status,built_module,notes
1,ANZSCO occupations (JSA browse),https://www.jobsandskills.gov.au/data/occupation-and-industry-profiles/occupations-anzsco,"HTML browse surface (Drupal card grid, no <table>)",2,Near-static,occupations,BUILT,extraction/anzsco_occupations.py,Superseded by source 18 as the authoritative code/title source; kept for occupation-and-industry-profile coverage.
2,EOI invitation rounds (current),https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,hidden-field JSON (root key 'content'),2,~monthly,eoi_rounds,BUILT,extraction/skillselect_rounds.py,"Same page also carries unused Tables A/C/D (round totals, monthly matrix, state/territory nominations) - free extension, no new fetch."
3,Migration program planning levels,https://immi.homeaffairs.gov.au/what-we-do/migration-program-planning-levels,hidden-field JSON (root key 'content'),2,Irregular (Budget + mid-year),program_allocation (C15),VERIFIED,,"Grain is visa category/stream, not per-occupation - see source 3b."
3b,Occupation ceilings,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/occupation-ceilings,—,—,—,ceiling_usage (C3),DEAD (404),,Not published anywhere at 6-digit grain. Only PY25-26 table found is FOI-release scanned images at 4-digit grain. ceiling_usage stays intentionally empty.
4,Visa fees,https://immi.homeaffairs.gov.au/_layouts/15/api/data.aspx/GetPriceList,"JSON API (POST, undocumented)",2,Annual (1 July indexation),visa_fees (C21),VERIFIED,,150 records. The human-facing /visa-fees page 404s; use the API directly. Superset of visa_subclasses; varies by stream.
5,Points test criteria,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189/points-table,hidden-field JSON (root key 'content'),2,Rare (major policy reform only),points_criteria_reference (C10),VERIFIED,,Catalogued URL was wrong (/points-tested has no table); real table is at sibling /points-table. No JS rendering needed.
6a,Visa subclass static facts - 189,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-independent-189,HTML prose,5,Rare,visa_subclasses (C6),CONFIRMED,,"Manual YAML seed, one row each."
6b,Visa subclass static facts - 190,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-nominated-190,HTML prose,5,Rare,visa_subclasses (C6),CONFIRMED,,
6c,Visa subclass static facts - 491,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skilled-work-regional-provisional-491,HTML prose,5,Rare,visa_subclasses (C6),CONFIRMED,,
6d,Visa subclass static facts - 485,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/temporary-graduate-485,HTML prose,5,Rare,visa_subclasses (C6),CONFIRMED,,
6e,Visa subclass static facts - 500,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500,HTML prose,5,Rare,visa_subclasses (C6),CONFIRMED,,
6f,Visa subclass static facts - 482 (Skills in Demand),https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/skills-in-demand-visa-subclass-482,HTML prose,5,Rare,visa_subclasses (C6),CONFIRMED,,Renamed from Temporary Skill Shortage; legacy /temporary-skill-shortage-482 URL 302s here.
7a,Health requirement,https://immi.homeaffairs.gov.au/help-support/meeting-our-requirements/health,"hidden-field JSON, prose only",5,Rare,eligibility_requirements (C17),VERIFIED,,
7b,Character requirement,https://immi.homeaffairs.gov.au/help-support/meeting-our-requirements/character,"hidden-field JSON, prose only",5,Rare,eligibility_requirements (C17),VERIFIED,,
7c,English language requirement,https://immi.homeaffairs.gov.au/help-support/meeting-our-requirements/english-language,"hidden-field JSON, prose only",5,Rare,eligibility_requirements (C17),VERIFIED,,"Prose only, no score table - english_test_bands must come from source 22 instead."
8,Global visa processing times,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-processing-times/global-visa-processing-times,JSON API (GetProcessGuideVisas + GetProcessGuideInfo),2,~monthly,processing_times (C14),VERIFIED,,"76 subclass x stream combos. Returns a percentile distribution, not a median - median_days needs re-modelling. Needs a stream column in the schema before it can be built (see F1)."
9a,LIN 19/051 (MLTSSL/STSOL/ROL + assessing authorities),https://www.legislation.gov.au/F2019L00278/2026-03-28/2026-03-28/text/original/epub/OEBPS/document_1/document_1.html,"epub HTML tables (12, no id/class - positional)",2,A few times/year,"occupation_titles, occupation_assessing_bodies, assessing_bodies, list_change_log",BUILT,extraction/lin19051.py,"The binding instrument. Table 5=504-row occupation-to-authority join, Table 6=38 bodies. ANZSCO 2013-coded; 25 codes absent from 2022."
9b,F2024L01618 (Subclass 186/CSOL),https://www.legislation.gov.au/F2024L01618,epub HTML tables,2,A few times/year,"occupation_list_membership (C20, CSOL)",CONFIRMED,,"ANZSCO 2022-coded, 100% match to current edition."
9c,F2024L01616 (ANZSCO Definition),https://www.legislation.gov.au/F2024L01616/latest,"HTML (definitional, zero tables)",—,Rare,anzsco_edition pin only,CONFIRMED,,No data - purely pins migration to ANZSCO 2013.
10,JSA skills priority list (Occupation Shortage List),https://www.jobsandskills.gov.au/data/occupation-shortage/occupation-shortage-list,JSON embedded in page (splData/splSearch),2,Annual,skills_priority_ratings (C18),VERIFIED,,Renamed from Skills Priority List; redirects from /skills-priority-list. Vocabulary is exactly S/M/R/NS (Ns is a casing bug).
11a,State nomination status - NSW,https://www.nsw.gov.au/visas-and-migration/skilled-visas,HTML prose landing page,5,Irregular,state_nomination_status (C12),CONFIRMED,,
11b,State nomination status - VIC,https://liveinmelbourne.vic.gov.au/migrate,HTML prose landing page,5,Irregular,state_nomination_status (C12),PROPOSED,,"403 - Cloudflare bot challenge, both curl and headless browser. Re-verify from residential IP."
11c,State nomination status - QLD,https://migration.qld.gov.au/visa-options/skilled-visas,HTML prose landing page,5,Irregular,state_nomination_status (C12),CONFIRMED,,
11d,State nomination status - WA,https://migration.wa.gov.au/our-services-support/state-nominated-migration-program,HTML prose landing page,5,Irregular,state_nomination_status (C12),CONFIRMED,,Views search form shows 0 results until queried; catalogued #2025-26-eligible-occupations anchor does not exist.
11e,State nomination status - SA,https://migration.sa.gov.au/before-applying/work-in-sa/occupation-lists,HTML prose landing page,5,Irregular,state_nomination_status (C12),CONFIRMED,,"Legitimately between intake rounds - model as 'closed', not 'failed'."
11/12,State nomination status - fees/points/docs (all states),(same 5 state pages as 11a-e),—,—,—,state_nomination_status (C12),NOT PUBLISHED,,None of fee/points/job-offer/decision-time/documents columns found on any state page; no aggregated source exists. Most columns ship NULL.
12a,State occupation list changes - NSW skills lists,https://www.nsw.gov.au/visas-and-migration/skilled-visas/nsw-skills-lists,HTML,1->5,Irregular,list_change_log (C13),CONFIRMED,,
12b,State occupation list changes - QLD offshore QSOL,https://migration.qld.gov.au/occupation-lists/offshore-queensland-skilled-occupation-lists-(qsol),HTML,1->5,Irregular,list_change_log (C13),CONFIRMED,,
12c,State occupation list changes - WA program,https://migration.wa.gov.au/our-services-support/state-nominated-migration-program#2025-26-eligible-occupations,HTML,1->5,Irregular,list_change_log (C13),CONFIRMED,,Anchor does not actually exist on the page.
12d,State occupation list changes - SA occupation lists,https://migration.sa.gov.au/before-applying/work-in-sa/occupation-lists,HTML,1->5,Irregular,list_change_log (C13),CONFIRMED,,
13,Assessing bodies (skills assessing authorities),https://www.legislation.gov.au/F2019L00278/latest,epub HTML tables (same doc as source 9),2,Rare,"assessing_bodies (C8), occupation_assessing_bodies (C9)",BUILT,extraction/lin19051.py,"Replaces MARA (wrong authority - registers migration agents, not skills assessors). Table 5 keys by abbreviation, Table 6 by full name - needs an explicit mapping."
14a,Policy events - Budget migration page,https://budget.gov.au/content/migration.htm,—,5,Ad hoc,policy_events (C11),DEAD (soft-404),,Returns HTTP 200 with a 'Page not found' body after 2026-27 budget site restructure. Migration numbers now live in Budget Paper No. 3.
14b,Policy events - Treasury (root),https://treasury.gov.au/,HTML,5,Ad hoc,policy_events (C11),CONFIRMED,,
14c,Policy events - Ministerial media releases,https://minister.homeaffairs.gov.au/,HTML,5,Ad hoc,policy_events (C11),CONFIRMED,,No machine-readable index of releases - stays editorial by design.
14d,Policy events - Budget (root),https://budget.gov.au/,HTML,5,Ad hoc,policy_events (C11),CONFIRMED,,
15,Application funnel - submitted/invited,https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/invitation-rounds,hidden-field JSON (same page as source 2),2,~monthly,application_funnel.invited_count (C16),CONFIRMED,,"Piggyback source 2's fetch, don't re-fetch. submitted_count confirmed NOT PUBLISHED anywhere - ship NULL permanently."
16,Application funnel - granted (superseded by 21),https://data.gov.au/data/dataset/permanent-migration-program-skilled-family,XLSX pivot cache,2,Annual,application_funnel.granted_count (C16),VERIFIED,,Same dataset as source 21 (BP0068) - see that row for the real retrieval detail.
17,SkillSelect previous rounds (invitation history),https://immi.homeaffairs.gov.au/visas/working-in-australia/skillselect/previous-rounds,"hidden-field JSON (root key 'criteria', item key 'description')",2,~monthly,"eoi_rounds (C2, historical backfill)",BUILT,extraction/skillselect_previous_rounds.py,Only 4 of 19 rounds carry an occupation table (646 rows); the other 15 are summary-only. Table shape varies by era (Occupation|189|491 vs single column).
18,ABS ANZSCO structure workbook,https://www.abs.gov.au/statistics/classifications/anzsco-australian-and-new-zealand-standard-classification-occupations/2022/anzsco%202022%20structure%20062023.xlsx,XLSX,2,Per ANZSCO edition (rare),"occupations (C1), occupation_titles (C22)",BUILT,extraction/abs_anzsco.py,"Table 5=1,076 occupations (authoritative), Table 6=1,425 code/title pairs. Resolves 132/140 live SkillSelect names alone."
19,ABS ANZSCO <-> OSCA correspondence,ABS release: OSCA correspondence tables v2.xlsx (exact URL not yet pinned),XLSX (10 tables),2,Per edition,anzsco_osca_crosswalk (C19),VERIFIED,,Carries ANZSCO v1.3->OSCA and ANZSCO 2022->OSCA with a 'p' partial-match flag. Not one-to-one - naive join drops/duplicates rows.
20,Occupation name -> code crosswalk (composite),derived - union of source 18 (ABS Table 6) and source 9 (LIN Table 5),derived,derived,Per edition,"eoi_rounds.occupation_code (via occupation_titles, C22)",BUILT,crosswalk.py,"LIN-first resolution order. 3 titles (Management Consultant, Plumber (General), Statistician) resolve to different codes in the two sources - LIN wins, it's the binding instrument. Union resolves 140/140."
21,BP0068 - permanent migration program outcomes,https://data.gov.au/data/dataset/096fd157-807c-4ba0-8c63-0754cae4ba35/resource/832fe752-f672-4ce7-a5bc-bada2270496c/download/bp0068-migration-and-child-outcome-since-2015-16-to-2025-06-30-masked-v100.xlsx,XLSX pivot cache (data is NOT in the worksheets),2,Annual,"application_funnel.granted_count (C16), visa_subclasses (C6)",BUILT,extraction/bp0068.py,"622,425 records, 10 program years, 62 subclasses, CC-BY 2.5. Confidentialised - one real row is -2 (no non-negative check on granted_count)."
22a,English test bands - F2025L00905 (LIN 25/016),https://www.legislation.gov.au/F2025L00905,epub HTML tables (12 rowspan attributes),2,Rare (instrument amendment),english_test_bands (C7),VERIFIED,,Schedule 2: 4 bands x 9 tests x 4 skills. Naive td-indexing misaligns Superior rows - must be rowspan-aware.
22b,English test bands - F2025L00904 (Functional English),https://www.legislation.gov.au/F2025L00904,epub HTML tables,2,Rare,english_test_bands (C7),VERIFIED,,"Functional English, 8 tests."
23,legislation.gov.au OData API (compilation history),OData register-item API on /F2019L00278/latest (exact endpoint not yet pinned),JSON,2,Per amendment,"list_change_log.effective_date, .change_type (C13)",VERIFIED,,7-version compilation history with effective dates + amendment reasons - closes the 'register serves compilations not diffs' gap.
